Año,Entidad,Municipio,Delitos_Totales,Delitos_Automovil,Porcentaje_Delitos_Auto,Nivel_Riesgo
2015,Aguascalientes,Aguascalientes,18800,2241,11.92,ALTO
2015,Aguascalientes,Asientos,247,15,6.07,MEDIO
2015,Aguascalientes,Calvillo,554,33,5.96,MEDIO
2015,Aguascalientes,Cosío,160,11,6.88,MEDIO
2015,Aguascalientes,El Llano,168,3,1.79,BAJO
2015,Aguascalientes,Jesús María,1285,88,6.85,MEDIO
2015,Aguascalientes,Pabellón de Arteaga,747,23,3.08,BAJO
2015,Aguascalientes,Rincón de Romos,595,36,6.05,MEDIO
2015,Aguascalientes,San Francisco de los Romo,432,62,14.35,ALTO
2015,Aguascalientes,San José de Gracia,60,2,3.33,BAJO
2015,Aguascalientes,Tepezalá,164,6,3.66,BAJO
2015,Baja California,Ensenada,16162,1477,9.14,MEDIO
2015,Baja California,Mexicali,43650,5463,12.52,ALTO
2015,Baja California,Playas de Rosarito,3781,507,13.41,ALTO
2015,Baja California,Tecate,4312,464,10.76,ALTO
2015,Baja California,Tijuana,52039,6229,11.97,ALTO
2015,Baja California Sur,Comondú,1682,65,3.86,BAJO
2015,Baja California Sur,La Paz,10263,767,7.47,MEDIO
2015,Baja California Sur,Loreto,323,11,3.41,BAJO
2015,Baja California Sur,Los Cabos,7863,328,4.17,BAJO
2015,Baja California Sur,Mulegé,1284,19,1.48,BAJO
2015,Campeche,Calakmul,52,2,3.85,BAJO
2015,Campeche,Calkiní,32,3,9.38,MEDIO
2015,Campeche,Campeche,663,222,33.48,ALTO
2015,Campeche,Candelaria,140,7,5.00,MEDIO
2015,Campeche,Carmen,770,49,6.36,MEDIO
2015,Campeche,Champotón,52,21,40.38,ALTO
2015,Campeche,Escárcega,75,10,13.33,ALTO
2015,Campeche,Hecelchakán,25,0,0.00,BAJO
2015,Campeche,Hopelchén,22,0,0.00,BAJO
2015,Campeche,Palizada,8,0,0.00,BAJO
2015,Campeche,Tenabo,47,0,0.00,BAJO
2015,Chiapas,Acacoyagua,82,5,6.10,MEDIO
2015,Chiapas,Acala,49,3,6.12,MEDIO
2015,Chiapas,Acapetahua,125,10,8.00,MEDIO
2015,Chiapas,Aldama,6,0,0.00,BAJO
2015,Chiapas,Altamirano,61,4,6.56,MEDIO
2015,Chiapas,Amatenango de la Frontera,28,3,10.71,ALTO
2015,Chiapas,Amatenango del Valle,13,3,23.08,ALTO
2015,Chiapas,Amatán,33,0,0.00,BAJO
2015,Chiapas,Angel Albino Corzo,51,1,1.96,BAJO
2015,Chiapas,Arriaga,302,37,12.25,ALTO
2015,Chiapas,Bejucal de Ocampo,3,0,0.00,BAJO
2015,Chiapas,Bella Vista,12,1,8.33,MEDIO
2015,Chiapas,Benemérito de las Américas,13,1,7.69,MEDIO
2015,Chiapas,Berriozábal,181,15,8.29,MEDIO
2015,Chiapas,Bochil,108,10,9.26,MEDIO
2015,Chiapas,Cacahoatán,115,6,5.22,MEDIO
